"gene_name","point_est","p","fdr"
"Ube2q1",0.931310514219493,0.269837498187825,0.346764855127336
"Uhrf2",1.09767958764386,0.210561886642328,0.284307063530885
"Vangl1",1.42287030906484,0.499423752260229,0.560655783188687
"Vcpkmt",0.999116400907571,0.246156736957327,0.323425667840793
"Vps72",1.13848341626117,0,0
"Wapl",0.487773644887008,0,0
"Wnk1",1.08461037694241,0,0
"Yeats4",0.473744726145557,0,0
"Yy1",0.72455174337486,0,0
"Zbtb38",1.07836883516453,0.161079325476607,0.233644764181415
"Zbtb4",0.866994148193274,0,0
"Zmat3",1.74534101026783,0,0
"Zmym5",1.80505957969527,0,0
"Zmynd11",0.780546938527418,0.17172472746266,0.246643848757644
"Zmynd8",3.01650000641674,0,0
"Zzz3",0.801826473505032,0,0
"sgNT1",0.204599736624887,0.4,0.4688
"sgNT2",0.361507698259589,0.8,0.811072664359862
"sgNT3",0.522121835442214,0.2,0.271296296296296
"sgNT4",0.40518818785091,0.2,0.271296296296296
"sgNT5",0.274912869563678,0.6,0.634657039711191
"sgNeo1",0.288600846532399,1,1
"sgNeo2",0.220009268143915,0.8,0.811072664359862
"sgNeo3",0.392473457866124,0.2,0.271296296296296
"sgSafe1",0.52133462361274,0.4,0.4688
"sgSafe10",0.330882292018407,0.8,0.811072664359862
"sgSafe11",0.410274044428551,0.2,0.271296296296296
"sgSafe12",0.374275206581908,0.2,0.271296296296296
"sgSafe13",0.341031765855173,0.6,0.634657039711191
"sgSafe14",0.376283850487148,0.6,0.634657039711191
"sgSafe15",0.238617595736131,0.2,0.271296296296296
"sgSafe16",0.361561994210636,0.4,0.4688
"sgSafe17",0.421274300833482,0,0
"sgSafe18",0.352598828636486,0.4,0.4688
"sgSafe19",0.235052043187336,0,0
"sgSafe2",0.47294479006666,0,0
"sgSafe20",0.289509886865659,0.6,0.634657039711191
"sgSafe21",0.321815468972359,0.6,0.634657039711191
"sgSafe22",0.346223853104661,0.4,0.4688
"sgSafe23",0.350293013962479,0.8,0.811072664359862
"sgSafe24",0.308363852305395,0.2,0.271296296296296
"sgSafe25",0.335527181479101,0,0
"sgSafe26",0.329700869360537,1,1
"sgSafe27",0.602418424349077,1,1
"sgSafe28",0.256435265419427,0.8,0.811072664359862
"sgSafe29",0.163382763728391,0.2,0.271296296296296
"sgSafe3",0.569596613465976,0,0
"sgSafe30",0.353465383849104,0.6,0.634657039711191
"sgSafe31",0.157888210194123,0.4,0.4688
"sgSafe32",0.61534843368642,0,0
"sgSafe33",0.243865272116602,0.8,0.811072664359862
"sgSafe34",0.360039070847571,0.2,0.271296296296296
"sgSafe35",0.203573762520679,0.4,0.4688
"sgSafe36",0.332661059798052,0,0
"sgSafe37",0.250678003583938,0.4,0.4688
"sgSafe38",0.335117442976072,0.4,0.4688
"sgSafe39",0.180953329574766,0.8,0.811072664359862
"sgSafe4",0.414542795821963,0.8,0.811072664359862
"sgSafe40",0.383192780875323,0.6,0.634657039711191
"sgSafe41",0.268951533070695,0.4,0.4688
"sgSafe42",0.245394813964489,0.2,0.271296296296296
"sgSafe5",0.359842618768312,0.4,0.4688
"sgSafe6",0.231028591167252,0.8,0.811072664359862
"sgSafe7",0.302025679794556,0.6,0.634657039711191
"sgSafe8",0.669010304459692,0,0
"sgSafe9",0.319435339545335,0.6,0.634657039711191
