"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Cxxc1_3",0.979678538895313,"Cxxc1",0.918414090224476,1.10200288971804,0.2,0.4,0.580186915887851
"Dhx30_1",0.956217706394714,"Dhx30",0.872053721126953,0.997688006746828,0,0,0
"Dhx30_2",0.923631314671134,"Dhx30",0.798882149541242,1.06452928061626,0.2,0.4,0.580186915887851
"Dhx30_3",0.865286783358049,"Dhx30",0.795955564542663,0.934783189249382,0,0,0
"Dido1_1",0.958030874310812,"Dido1",0.896015135384242,1.05873046260561,0.1,0.2,0.38320987654321
"Dido1_2",1.05585345260632,"Dido1",0.959938739789965,1.11690797861098,0.2,0.4,0.580186915887851
"Dido1_3",1.12923916924842,"Dido1",1.06992986907744,1.23660389019218,0,0,0
"Dnmt1_1",0.894262317513061,"Dnmt1",0.743949564101193,0.996560815787675,0,0,0
"Dnmt1_2",0.775068099454143,"Dnmt1",0.705198687599451,0.823719814321933,0,0,0
"Dnmt1_3",0.937439275786643,"Dnmt1",0.889707340654853,0.999360477489013,0.1,0.2,0.38320987654321
"Dnmt3a_1",1.10192669774575,"Dnmt3a",0.956713051795365,1.35465729321095,0.3,0.6,0.74496
"Dnmt3a_2",1.15391445301362,"Dnmt3a",1.05456312362948,1.28513563179185,0,0,0
"Dnmt3a_3",1.00993587292961,"Dnmt3a",0.944204500253374,1.08978375723129,0.4,0.8,0.857458563535912
"Dpf2_1",1.04103890190275,"Dpf2",0.942066879824415,1.11017367057794,0.2,0.4,0.580186915887851
"Dpf2_2",1.08997755176037,"Dpf2",1.03356967923097,1.15623030706418,0,0,0
"Dpf2_3",0.975895084714915,"Dpf2",0.922038133562366,1.05583320849095,0.1,0.2,0.38320987654321
"Dusp1_1",0.884497936255961,"Dusp1",0.816615166543229,0.968227054869524,0,0,0
"Dusp1_2",0.971322503294316,"Dusp1",0.908751931737982,1.04077036638092,0.1,0.2,0.38320987654321
"Dusp1_3",1.00271147439767,"Dusp1",0.937400385104974,1.10249756147611,0.3,0.6,0.74496
"Eed_1",0.904952846570323,"Eed",0.819474563113144,0.993938930740255,0,0,0
"Eed_2",0.919711349406881,"Eed",0.8380438000156,0.974461337398043,0,0,0
"Eed_3",0.80500936622255,"Eed",0.74071236122246,0.89954329238353,0,0,0
"Ehmt1_1",0.991775267576176,"Ehmt1",0.829656655448597,1.12872382877077,0.5,1,1
"Ehmt1_2",0.942853795729433,"Ehmt1",0.854353608551561,1.09401391264363,0.1,0.2,0.38320987654321
"Ehmt1_3",0.974570952944831,"Ehmt1",0.847618531711648,1.11678094524749,0.3,0.6,0.74496
"Ehmt2_1",0.892222888946757,"Ehmt2",0.749976061013915,1.03164287588289,0.1,0.2,0.38320987654321
"Ehmt2_2",1.00123632393157,"Ehmt2",0.853123254581825,1.10772421343767,0.5,1,1
"Ehmt2_3",0.940124367987738,"Ehmt2",0.822239709443099,1.08342370275191,0.2,0.4,0.580186915887851
"Ep300_1",0.996471626895944,"Ep300",0.908155421671156,1.08681254852528,0.4,0.8,0.857458563535912
"Ep300_2",1.07774403967057,"Ep300",1.00831773633264,1.17929296453083,0,0,0
"Ep300_3",0.897772872402907,"Ep300",0.829267928147725,0.966895933125444,0,0,0
"Ep400_1",0.983865897814983,"Ep400",0.853768884958695,1.20975652656915,0.1,0.2,0.38320987654321
"Ep400_2",1.01095768317149,"Ep400",0.895175642584446,1.23102522773549,0.4,0.8,0.857458563535912
"Ep400_3",0.933229648521885,"Ep400",0.793990739684256,1.01208695867855,0.2,0.4,0.580186915887851
"Epc1_1",0.998524003084833,"Epc1",0.928527089123548,1.10865093590438,0.2,0.4,0.580186915887851
"Epc1_2",1.00029890726447,"Epc1",0.947919594758159,1.07914194147417,0.5,1,1
"Epc1_3",0.94681317679163,"Epc1",0.861074549759008,0.991885377685334,0,0,0
"Epc2_1",0.902783845387007,"Epc2",0.78261281720128,1.04202899759676,0.1,0.2,0.38320987654321
"Epc2_2",1.01034489329953,"Epc2",0.949106500782772,1.12893870476895,0.3,0.6,0.74496
"Epc2_3",0.999617750609807,"Epc2",0.94751245919722,1.08196166766763,0.3,0.6,0.74496
"Eya2_1",0.940026443022831,"Eya2",0.858341667295073,1.00659611392797,0.2,0.4,0.580186915887851
"Eya2_2",0.950857332844711,"Eya2",0.88287875230803,1.04021233643842,0.2,0.4,0.580186915887851
"Eya2_3",1.00688579515073,"Eya2",0.874271591353816,1.17496839901221,0.5,1,1
"Ezh2_1",1.05161161609909,"Ezh2",0.98550890591202,1.13094005757084,0.3,0.6,0.74496
"Ezh2_2",1.13980772282528,"Ezh2",1.04800855336003,1.29724547135215,0,0,0
"Ezh2_3",1.03428305123123,"Ezh2",0.95083913180131,1.1419384163151,0.3,0.6,0.74496
"Fxr1_1",1.06933157459775,"Fxr1",0.992090690584137,1.14438137494965,0.2,0.4,0.580186915887851
"Fxr1_2",1.03339696532155,"Fxr1",0.905211365527703,1.20593729717233,0.4,0.8,0.857458563535912
"Fxr1_3",0.963257577604399,"Fxr1",0.85690968512166,1.06123898609072,0.2,0.4,0.580186915887851
"Gatad2a_1",1.01761505725424,"Gatad2a",0.932506064160356,1.13616578249331,0.5,1,1
"Gatad2a_2",0.849307405632147,"Gatad2a",0.779422296964714,0.973636873996114,0,0,0
"Gatad2a_3",0.945215432392648,"Gatad2a",0.883293458975015,1.00487635140013,0.1,0.2,0.38320987654321
"Gatad2b_1",0.98107336721583,"Gatad2b",0.837280556147298,1.1011015414187,0.3,0.6,0.74496
"Gatad2b_2",0.955127541607293,"Gatad2b",0.834449329581482,1.02175200440226,0.1,0.2,0.38320987654321
"Gatad2b_3",0.92795284942622,"Gatad2b",0.864282232747001,0.988913601942719,0,0,0
"Gclc_1",0.93653171398971,"Gclc",0.860607703350125,1.02951158833715,0.1,0.2,0.38320987654321
"Gclc_2",1.00792983244099,"Gclc",0.962946161947866,1.07695095205748,0.4,0.8,0.857458563535912
"Gclc_3",0.98739130729961,"Gclc",0.89815707161918,1.06141281625723,0.4,0.8,0.857458563535912
"Glyr1_1",1.39381608377348,"Glyr1",1.12817104173205,1.59499146281936,0,0,0
"Glyr1_2",1.26973229355166,"Glyr1",1.15999942813029,1.39809718317455,0,0,0
